GENDER,AGE,GLASSES
Male,19,Yes
VIDEO_TITLE,TIME,
Video1_Walking_LL_360p.mp4,08/11/2020 15:41:10,
Video1_Walking_LL_480p.mp4,08/11/2020 15:41:14,
Video1_Walking_LL_720p.mp4,08/11/2020 15:41:16,
Video2_Walking_LH_360p.mp4,08/11/2020 15:42:21,
Video2_Walking_LH_480p.mp4,08/11/2020 15:42:33,
Video3_Walking_HL_360p.mp4,08/11/2020 15:43:29,
Video3_Walking_HL_480p.mp4,08/11/2020 15:43:40,
Video4_Walking_HH_360p.mp4,08/11/2020 15:44:39,
Video4_Walking_HH_480p.mp4,08/11/2020 15:44:44,
Video1_Running_LL_360p.mp4,08/11/2020 15:45:48,
Video1_Running_LL_480p.mp4,08/11/2020 15:46:01,
Video2_Running_LH_360p.mp4,08/11/2020 15:46:56,
Video2_Running_LH_480p.mp4,08/11/2020 15:46:58,
Video3_Running_HL_360p.mp4,08/11/2020 15:48:05,
Video4_Running_HH_360p.mp4,08/11/2020 15:49:11,
Video4_Running_HH_480p.mp4,08/11/2020 15:49:17,
Video1_Sitting_LL_360p.mp4,08/11/2020 15:53:16,
Video1_Sitting_LL_480p.mp4,08/11/2020 15:53:22,
Video1_Sitting_LL_720p.mp4,08/11/2020 15:53:38,
Video2_Sitting_LH_360p.mp4,08/11/2020 15:54:25,
Video2_Sitting_LH_480p.mp4,08/11/2020 15:54:28,
Video3_Sitting_HL_360p.mp4,08/11/2020 15:55:37,
Video3_Sitting_HL_480p.mp4,08/11/2020 15:55:42,
Video4_Sitting_HH_360p.mp4,08/11/2020 15:56:47,
Video4_Sitting_HH_480p.mp4,08/11/2020 15:56:54,
Video4_Sitting_HH_720p.mp4,08/11/2020 15:57:27,
