ExperimentID,UserID,VideoID,Activity,StartResolution,EndResolution,Gender,Personality,SI,TI,Cluster,Glasses
8,211,14,Sitting,360,720,Male,Agreeableness,136.498,28.59,11001,0
8,211,21,Walking,360,480,Male,Agreeableness,14.343,3.491,11001,0
8,211,22,Walking,360,360,Male,Agreeableness,40.179,38.442,11001,0
8,211,23,Walking,360,360,Male,Agreeableness,117.562,6.145,11001,0
8,211,24,Walking,360,720,Male,Agreeableness,118.669,26.814,11001,0
8,211,31,Running,360,480,Male,Agreeableness,41.164,1.424,11001,0
8,211,32,Running,360,480,Male,Agreeableness,40.308,31.631,11001,0
8,211,33,Running,360,360,Male,Agreeableness,123.356,8.147,11001,0
8,211,34,Running,360,720,Male,Agreeableness,138.758,37.133,11001,0
9,220,11,Sitting,360,1080,Female,Neuroticism,8.778,3.687,00010,1
9,220,12,Sitting,360,720,Female,Neuroticism,38.861,36.951,00010,1
9,220,13,Sitting,360,360,Female,Neuroticism,138.691,8.303,00010,1
9,220,14,Sitting,360,480,Female,Neuroticism,136.498,28.59,00010,1
9,220,21,Walking,360,720,Female,Neuroticism,14.343,3.491,00010,1
9,220,22,Walking,360,480,Female,Neuroticism,40.179,38.442,00010,1
9,220,23,Walking,360,480,Female,Neuroticism,117.562,6.145,00010,1
9,220,24,Walking,360,720,Female,Neuroticism,118.669,26.814,00010,1
9,220,31,Running,360,720,Female,Neuroticism,41.164,1.424,00010,1
9,220,32,Running,360,480,Female,Neuroticism,40.308,31.631,00010,1
9,220,33,Running,360,360,Female,Neuroticism,123.356,8.147,00010,1
9,220,34,Running,360,360,Female,Neuroticism,138.758,37.133,00010,1
10,221,11,Sitting,360,1080,Male,Agreeableness,8.778,3.687,01000,1
10,221,12,Sitting,360,1080,Male,Agreeableness,38.861,36.951,01000,1
10,221,13,Sitting,360,720,Male,Agreeableness,138.691,8.303,01000,1
10,221,14,Sitting,360,1080,Male,Agreeableness,136.498,28.59,01000,1
10,221,21,Walking,360,1080,Male,Agreeableness,14.343,3.491,01000,1
10,221,22,Walking,360,1080,Male,Agreeableness,40.179,38.442,01000,1
10,221,23,Walking,360,720,Male,Agreeableness,117.562,6.145,01000,1
10,221,24,Walking,360,1080,Male,Agreeableness,118.669,26.814,01000,1
10,221,31,Running,360,720,Male,Agreeableness,41.164,1.424,01000,1
10,221,32,Running,360,1080,Male,Agreeableness,40.308,31.631,01000,1
10,221,33,Running,360,480,Male,Agreeableness,123.356,8.147,01000,1
10,221,34,Running,360,720,Male,Agreeableness,138.758,37.133,01000,1
11,230,11,Sitting,360,1080,Male,Agreeableness,8.778,3.687,11000,1
11,230,12,Sitting,360,360,Male,Agreeableness,38.861,36.951,11000,1
11,230,13,Sitting,360,720,Male,Agreeableness,138.691,8.303,11000,1
11,230,14,Sitting,360,480,Male,Agreeableness,136.498,28.59,11000,1
11,230,21,Walking,360,720,Male,Agreeableness,14.343,3.491,11000,1
11,230,22,Walking,360,480,Male,Agreeableness,40.179,38.442,11000,1
11,230,23,Walking,360,480,Male,Agreeableness,117.562,6.145,11000,1
11,230,24,Walking,360,1080,Male,Agreeableness,118.669,26.814,11000,1
11,230,31,Running,360,360,Male,Agreeableness,41.164,1.424,11000,1
11,230,32,Running,360,720,Male,Agreeableness,40.308,31.631,11000,1
11,230,33,Running,360,720,Male,Agreeableness,123.356,8.147,11000,1
11,230,34,Running,360,480,Male,Agreeableness,138.758,37.133,11000,1
12,231,11,Sitting,360,1080,Male,Agreeableness,8.778,3.687,11011,1
12,231,12,Sitting,360,1080,Male,Agreeableness,38.861,36.951,11011,1
12,231,13,Sitting,360,1080,Male,Agreeableness,138.691,8.303,11011,1
12,231,14,Sitting,360,1080,Male,Agreeableness,136.498,28.59,11011,1
12,231,21,Walking,360,1080,Male,Agreeableness,14.343,3.491,11011,1
12,231,22,Walking,360,1080,Male,Agreeableness,40.179,38.442,11011,1
12,231,23,Walking,360,1080,Male,Agreeableness,117.562,6.145,11011,1
12,231,24,Walking,360,1080,Male,Agreeableness,118.669,26.814,11011,1
12,231,31,Running,360,1080,Male,Agreeableness,41.164,1.424,11011,1
12,231,32,Running,360,1080,Male,Agreeableness,40.308,31.631,11011,1
12,231,33,Running,360,1080,Male,Agreeableness,123.356,8.147,11011,1
12,231,34,Running,360,1080,Male,Agreeableness,138.758,37.133,11011,1
13,240,11,Sitting,360,720,Female,Agreeableness,8.778,3.687,01011,1
13,240,12,Sitting,360,720,Female,Agreeableness,38.861,36.951,01011,1
13,240,13,Sitting,360,480,Female,Agreeableness,138.691,8.303,01011,1
13,240,14,Sitting,360,480,Female,Agreeableness,136.498,28.59,01011,1
13,240,21,Walking,360,720,Female,Agreeableness,14.343,3.491,01011,1
13,240,22,Walking,360,480,Female,Agreeableness,40.179,38.442,01011,1
13,240,23,Walking,360,480,Female,Agreeableness,117.562,6.145,01011,1
13,240,24,Walking,360,720,Female,Agreeableness,118.669,26.814,01011,1
13,240,31,Running,360,720,Female,Agreeableness,41.164,1.424,01011,1
13,240,32,Running,360,720,Female,Agreeableness,40.308,31.631,01011,1
13,240,33,Running,360,480,Female,Agreeableness,123.356,8.147,01011,1
13,240,34,Running,360,360,Female,Agreeableness,138.758,37.133,01011,1
14,310,11,Sitting,360,1080,Female,Openness,8.778,3.687,00101,1
14,310,12,Sitting,360,480,Female,Openness,38.861,36.951,00101,1
14,310,13,Sitting,360,360,Female,Openness,138.691,8.303,00101,1
14,310,14,Sitting,360,480,Female,Openness,136.498,28.59,00101,1
14,310,21,Walking,360,720,Female,Openness,14.343,3.491,00101,1
14,310,22,Walking,360,360,Female,Openness,40.179,38.442,00101,1
14,310,23,Walking,360,720,Female,Openness,117.562,6.145,00101,1
14,310,24,Walking,360,1080,Female,Openness,118.669,26.814,00101,1
14,310,31,Running,360,1080,Female,Openness,41.164,1.424,00101,1
14,310,32,Running,360,1080,Female,Openness,40.308,31.631,00101,1
14,310,33,Running,360,480,Female,Openness,123.356,8.147,00101,1
14,310,34,Running,360,480,Female,Openness,138.758,37.133,00101,1
15,311,11,Sitting,360,1080,Female,Neuroticism,8.778,3.687,00110,0
15,311,12,Sitting,360,1080,Female,Neuroticism,38.861,36.951,00110,0
15,311,13,Sitting,360,480,Female,Neuroticism,138.691,8.303,00110,0
15,311,14,Sitting,360,1080,Female,Neuroticism,136.498,28.59,00110,0
15,311,21,Walking,360,1080,Female,Neuroticism,14.343,3.491,00110,0
15,311,22,Walking,360,720,Female,Neuroticism,40.179,38.442,00110,0
15,311,23,Walking,360,720,Female,Neuroticism,117.562,6.145,00110,0
15,311,24,Walking,360,720,Female,Neuroticism,118.669,26.814,00110,0
15,311,31,Running,360,1080,Female,Neuroticism,41.164,1.424,00110,0
15,311,32,Running,360,480,Female,Neuroticism,40.308,31.631,00110,0
15,311,33,Running,360,360,Female,Neuroticism,123.356,8.147,00110,0
15,311,34,Running,360,720,Female,Neuroticism,138.758,37.133,00110,0
16,321,11,Sitting,360,1080,Female,Neuroticism,8.778,3.687,01011,0
16,321,12,Sitting,360,720,Female,Neuroticism,38.861,36.951,01011,0
16,321,13,Sitting,360,360,Female,Neuroticism,138.691,8.303,01011,0
16,321,14,Sitting,360,720,Female,Neuroticism,136.498,28.59,01011,0
16,321,21,Walking,360,480,Female,Neuroticism,14.343,3.491,01011,0
16,321,22,Walking,360,480,Female,Neuroticism,40.179,38.442,01011,0
16,321,23,Walking,360,360,Female,Neuroticism,117.562,6.145,01011,0
16,321,24,Walking,360,720,Female,Neuroticism,118.669,26.814,01011,0
16,321,31,Running,360,720,Female,Neuroticism,41.164,1.424,01011,0
16,321,32,Running,360,360,Female,Neuroticism,40.308,31.631,01011,0
16,321,33,Running,360,480,Female,Neuroticism,123.356,8.147,01011,0
16,321,34,Running,360,480,Female,Neuroticism,138.758,37.133,01011,0
17,330,11,Sitting,360,1080,Male,Agreeableness,8.778,3.687,01001,1
