#TITLE                                                                                                          #AVG_SI     #STD_SI    #AVG_TI   #STD_TI     
GodspeedvsFlashFightSceneTheFlash6x18HD1080p.mp4                                                                26.756      11.551     11.434    13.743
TheJimiHendrixExperienceFoxeyLadyMiamiPop19681080p.mp4                                                          26.808      11.057     10.538    10.897
TheLoraxbuteverytimetheysaytreeitgetsfaster1080p.mp4                                                            27.098      14.445     6.075     8.909
300RiseofanEmpireOfficialTrailer2HD1080p.mp4                                                                    27.177      18.33      8.358     10.489
FlipCarChase1of2FASTandFURIOUS6FlipCarvsBMWM51080p1080p.mp4                                                     27.218      7.109      10.871    10.11
Transient4KUHD1000FPS1080p.mp4                                                                                  27.733      12.52      4.574     10.09
SupermanvsZodFinalFightPart2ManofSteel2013MovieClip4K1080p.mp4                                                  28.007      8.821      23.717    10.827
AquamanOfficialTrailer1NowPlayingInTheaters1080p.mp4                                                            28.33       17.72      10.646    10.382
PostMaloneBetterNow1080p.mp4                                                                                    28.72       14.433     16.622    13.11
adidasReadyforSport1080p.mp4                                                                                    28.82       20.48      17.5      14.873
CharlieChaplinFinalSpeechfromTheGreatDictator1080p.mp4                                                          29.024      0.367      1.443     0.681
TheFlashVsSupergirlTheFlash3x08CrossoverFightScene1080p.mp4                                                     29.073      21.533     25.587    17.777
TheBeeMovieat3000speedexceptwhentheysaybee1080p.mp4                                                             29.882      14.754     38.734    21.506
GeraltfightsRenfriTheWitcherS01E01TheEndsBeginning1080p.mp4                                                     30.131      7.947      15.121    11.323
TheDarkKnightRisesBatmansFirstAppearanceHD1080p.mp4                                                             30.327      11.847     14.153    13.303
RanDZombiebyHardwellTomorrowland20181080p.mp4                                                                   30.664      7.903      6.292     4.776
FUNKSHUI20171080p.mp4                                                                                           30.866      11.092     9.926     9.879
UCLAGymnastics2019IntroVideo1080p.mp4                                                                           31.026      16.872     32.039    18.929
WizardBattleDumbledorevsVoldemortHarryPotterandtheOrderofthePhoenix1080p.mp4                                    31.305      10.529     18.364    14.356
CircleOfLoveRudyMancuso1080p.mp4                                                                                31.543      10.633     13.904    11.214
EddieBrockMotorcycleChaseSceneVenom20184KMovieClip1080p.mp4                                                     31.566      11.65      21.086    15.607
MotionDesignShowreel20191080p.mp4                                                                               31.73       22.515     10.392    12.442
DarkSoulsIIIOpeningCinematicTrailerPS4XB1PC1080p.mp4                                                            31.932      25.778     3.714     4.58
BatmanvSupermanDawnofJustice2016DoYouBleedScene210Movieclips1080p.mp4                                           32.048      8.018      21.51     15.036
Madagascarin1Minute1080p.mp4                                                                                    32.068      22.763     37.522    17.139
FastWeek1080p.mp4                                                                                               32.151      15.776     6.543     8.538
ClashoftheTitans2010IAmHadesScene210Movieclips1080p.mp4                                                         32.19       6.534      11.727    5.844
FearandLoathinginLasVegastrailerHD1080p.mp4                                                                     32.228      11.209     13.518    9.823
DeathValleyGirlsDisasterIsWhatWereAfterLiveonKEXP1080p.mp4                                                      32.37       16.159     14.541    7.324
ManofSteelSupermanKillsZodScene1010Movieclips1080p.mp4                                                          32.46       5.173      16.062    11.557
READYPLAYERONEOfficialTrailer1HD1080p.mp4                                                                       32.592      14.772     15.714    10.479
FeverTheGhostSOURCEofficialmusicvideo1080p.mp4                                                                  33.004      15.785     7.67      10.673
SonictheHedgehog2020SuperSonicScene1010Movieclips1080p.mp4                                                      33.05       8.377      11.479    8.335
1000modsElectricCarveOfficialVideo1080p.mp4                                                                     33.089      17.043     21.591    16.003
